TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr1	mouse chr1	0.00497755761673273	-5.30281594665691	395	16	0.0339702760084926	471	24173	17912,381290,20339,14859,93842,12490,14130,19225,16153,18788,50778,13136,12227,22164,226695,20849	Myo1b,Atp2b4,Sele,Gsta3,Igsf9,Cd34,Fcgr2b,Ptgs2,Il10,Serpinb2,Rgs1,Cd55,Btg2,Tnfsf4,Ifi205,Stat4
mouse chr16	mouse chr16	0.00516734823641938	-5.26539563569896	227	11	0.0233545647558386	471	24173	54483,23872,12703,67102,17857,12519,54720,12524,17858,12609,17470	Mefv,Ets2,Socs1,D16Ertd472e,Mx1,Cd80,Rcan1,Cd86,Mx2,Cebpd,Cd200
mouse chr5 E1|5 44.78 cM	mouse chr5 E1|5 44.78 cM	0.00539515354623825	-5.22225421983585	6	2	0.00424628450106157	471	24173	20310,14825	Cxcl2,Cxcl1
mouse chr10|10 A3	mouse chr10|10 A3	0.00565215628922748	-5.17571816252032	37	4	0.00849256900212314	471	24173	606736,29863,71804,667281	C920009B18Rik,Pde7b,Mtfr2,H60b
mouse chr1 E4|1 56.89 cM	mouse chr1 E4|1 56.89 cM	0.00745614029377087	-4.89871738555124	7	2	0.00424628450106157	471	24173	13136,16153	Cd55,Il10
mouse chr11	mouse chr11	0.0121390266559138	-4.41132967317846	550	19	0.0403397027600849	471	24173	16362,16518,20306,18413,20304,629303,20302,16878,20293,12569,67245,20303,18126,18452,20296,20307,16160,56405,12985	Irf1,Kcnj2,Ccl7,Osm,Ccl5,Heatr9,Ccl3,Lif,Ccl12,Cdk5r1,Peli1,Ccl4,Nos2,P4ha2,Ccl2,Ccl8,Il12b,Dusp14,Csf3
mouse chr6|6 A2	mouse chr6|6 A2	0.0185472317146575	-3.98743473477634	11	2	0.00424628450106157	471	24173	12389,21426	Cav1,Tfec
mouse chr9 F3|9 70.32 cM	mouse chr9 F3|9 70.32 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	104099	Itga9
mouse chr11 C|11 49.9 cM	mouse chr11 C|11 49.9 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20293	Ccl12
mouse chr5 G2|5 81.84 cM	mouse chr5 G2|5 81.84 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14086	Fscn1
mouse chr4 B2|4 28.75 cM	mouse chr4 B2|4 28.75 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	21350	Tal2
mouse chr11 C|11 50.66 cM	mouse chr11 C|11 50.66 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20304	Ccl5
mouse chr8 C5|8 46.34 cM	mouse chr8 C5|8 46.34 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17748	Mt1
mouse chr11 C|11 51.09 cM	mouse chr11 C|11 51.09 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20303	Ccl4
mouse chr7 F3|7 69.44 cM	mouse chr7 F3|7 69.44 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16408	Itgal
mouse chr19 A|19 4.4 cM	mouse chr19 A|19 4.4 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	13660	Ehd1
mouse chr6 F3|6 63.21 cM	mouse chr6 F3|6 63.21 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12515	Cd69
mouse chr14 18.43 cM|14 B	mouse chr14 18.43 cM|14 B	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12289	Cacna1d
mouse chr19 A|19 4.07 cM	mouse chr19 A|19 4.07 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18563	Pcx
mouse chr2 H3|2 85.38 cM	mouse chr2 H3|2 85.38 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	21939	Cd40
mouse chr16 B4|16 26.86 cM	mouse chr16 B4|16 26.86 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12519	Cd80
mouse chr4 C6|4 46.99 cM	mouse chr4 C6|4 46.99 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18578	Pde4b
mouse chr5 B3|5 23.84 cM	mouse chr5 B3|5 23.84 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12182	Bst1
mouse chr12 D2|12 39.7 cM	mouse chr12 D2|12 39.7 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14281	Fos
mouse chr13 A1|13 5.85 cM	mouse chr13 A1|13 5.85 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16323	Inhba
mouse chr8 D3|8 54.08 cM	mouse chr8 D3|8 54.08 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18104	Nqo1
mouse chr1 E2.1|1 50.34 cM	mouse chr1 E2.1|1 50.34 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18788	Serpinb2
mouse chr4 C6|4 49.18 cM	mouse chr4 C6|4 49.18 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	67916	Plpp3
mouse chr12 A1.1|12 8.11 cM	mouse chr12 A1.1|12 8.11 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18263	Odc1
mouse chr13 A4|13 21.6 cM	mouse chr13 A4|13 21.6 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12522	Cd83
mouse chr11 C|11 49.82 cM	mouse chr11 C|11 49.82 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20296	Ccl2
mouse chr18 B1|18 18.76 cM	mouse chr18 B1|18 18.76 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	13653	Egr1
mouse chr15 F1|15 54.64 cM	mouse chr15 F1|15 54.64 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12297	Cacnb3
mouse chr2 E5|2 59.19 cM	mouse chr2 E5|2 59.19 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	19419	Rasgrp1
mouse chr11 E2|11 75.23 cM	mouse chr11 E2|11 75.23 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16518	Kcnj2
mouse chr11 C|11 51.04 cM	mouse chr11 C|11 51.04 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20302	Ccl3
mouse chr7 B3|7 30.51 cM	mouse chr7 B3|7 30.51 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20210	Saa3
mouse chr8 C5|8 46.79 cM	mouse chr8 C5|8 46.79 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20312	Cx3cl1
mouse chr10 A3|10 8.08 cM	mouse chr10 A3|10 8.08 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	21929	Tnfaip3
mouse chr5 F|5 62.77 cM	mouse chr5 F|5 62.77 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	23912	Rhof
mouse chr10 B5.1|10 34.96 cM	mouse chr10 B5.1|10 34.96 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	13654	Egr2
mouse chr16 C3.1|16 45.36 cM	mouse chr16 C3.1|16 45.36 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	67102	D16Ertd472e
mouse chr9 F4|9 74.71 cM	mouse chr9 F4|9 74.71 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	23832	Xcr1
mouse chr4 D2.2|4 57.36 cM	mouse chr4 D2.2|4 57.36 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16918	Mycl
mouse chr13 A3.3|13 20.12 cM	mouse chr13 A3.3|13 20.12 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14538	Gcnt2
mouse chr17 C-D|17 28.98 cM	mouse chr17 C-D|17 28.98 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	52614	Adgre4
mouse chr1 A4|1 6.5 cM	mouse chr1 A4|1 6.5 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14859	Gsta3
mouse chr9 A3|9 7.87 cM	mouse chr9 A3|9 7.87 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16835	Ldlr
mouse chr18 D1|18 28.22 cM	mouse chr18 D1|18 28.22 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16948	Lox
mouse chr11 B5|11 47.94 cM	mouse chr11 B5|11 47.94 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12569	Cdk5r1
mouse chr18 C|18 24.41 cM	mouse chr18 C|18 24.41 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	28105	Trim36
mouse chr5 C3.3|5 40.23 cM	mouse chr5 C3.3|5 40.23 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16542	Kdr
mouse chr4 C6|4 46.84 cM	mouse chr4 C6|4 46.84 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	11639	Ak4
mouse chr14 E2.3|14 51.67 cM	mouse chr14 E2.3|14 51.67 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16365	Acod1
mouse chr6 E1|6 49.74 cM	mouse chr6 E1|6 49.74 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16438	Itpr1
mouse chr16 B5|16 29.53 cM	mouse chr16 B5|16 29.53 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17470	Cd200
mouse chr11 C|11 49.91 cM	mouse chr11 C|11 49.91 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20307	Ccl8
mouse chr10 A2|10 4.72 cM	mouse chr10 A2|10 4.72 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	22634	Plagl1
mouse chr3 G3|3 62.82 cM	mouse chr3 G3|3 62.82 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18033	Nfkb1
mouse chr4 D2.3|4 65.56 cM	mouse chr4 D2.3|4 65.56 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	19204	Ptafr
mouse chr16 C4|16 57.46 cM	mouse chr16 C4|16 57.46 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17857	Mx1
mouse chr16 C4|16 56.64 cM	mouse chr16 C4|16 56.64 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	23872	Ets2
mouse chr7 F5|7 87.59 cM	mouse chr7 F5|7 87.59 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18218	Dusp8
mouse chr2 E5|2 59.34 cM	mouse chr2 E5|2 59.34 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	21825	Thbs1
mouse chr13 A4|13 20.82 cM	mouse chr13 A4|13 20.82 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	13614	Edn1
mouse chr6 F2|6 58.3 cM	mouse chr6 F2|6 58.3 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	56620	Clec4n
mouse chr15 A1|15 1.99 cM	mouse chr15 A1|15 1.99 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	19219	Ptger4
mouse chr1 H6|1 98.38 cM	mouse chr1 H6|1 98.38 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12490	Cd34
mouse chr9 E3.1|9 47.24 cM	mouse chr9 E3.1|9 47.24 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12044	Bcl2a1a
mouse chr14 C2|14 27.79 cM	mouse chr14 C2|14 27.79 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17387	Mmp14
mouse chr8 C5|8 46.32 cM	mouse chr8 C5|8 46.32 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17750	Mt2
mouse chr13 B2|13 32.56 cM	mouse chr13 B2|13 32.56 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	13024	Ctla2a
mouse chrX A1.3|X 16.38 cM	mouse chrX A1.3|X 16.38 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	21857	Timp1
mouse chr15 D1|15 26.19 cM	mouse chr15 D1|15 26.19 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17869	Myc
mouse chr11 C|11 51.29 cM	mouse chr11 C|11 51.29 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	56405	Dusp14
mouse chr11 C|11 49.83 cM	mouse chr11 C|11 49.83 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20306	Ccl7
mouse chr15 B3.1|15 16.69 cM	mouse chr15 B3.1|15 16.69 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	11600	Angpt1
mouse chr7 F5|7 88.92 cM	mouse chr7 F5|7 88.92 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12443	Ccnd1
mouse chr5 E2|5 46.57 cM	mouse chr5 E2|5 46.57 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15945	Cxcl10
mouse chr2 A3|2 16.36 cM	mouse chr2 A3|2 16.36 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16181	Il1rn
mouse chr2 E5|2 60.65 cM	mouse chr2 E5|2 60.65 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	22785	Slc30a4
mouse chr15 B3.1|15 13.74 cM	mouse chr15 B3.1|15 13.74 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15529	Sdc2
mouse chr7 A3|7 9.56 cM	mouse chr7 A3|7 9.56 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14282	Fosb
mouse chr17 A3.2|17 10.63 cM	mouse chr17 A3.2|17 10.63 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14293	Fpr1
mouse chr1 C1.1|1 26.58 cM	mouse chr1 C1.1|1 26.58 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17912	Myo1b
mouse chr1 H2.2|1 71.35 cM	mouse chr1 H2.2|1 71.35 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20339	Sele
mouse chr1 H3|1 78.02 cM	mouse chr1 H3|1 78.02 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14130	Fcgr2b
mouse chr9 A5.1|9 24.24 cM	mouse chr9 A5.1|9 24.24 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	102644	Oaf
mouse chr18 4.42 cM|18 A1	mouse chr18 4.42 cM|18 A1	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	21417	Zeb1
mouse chr4 B3|4 33.19 cM	mouse chr4 B3|4 33.19 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	50780	Rgs3
mouse chr8 C3|8 41.41 cM	mouse chr8 C3|8 41.41 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16477	Junb
mouse chr3 C|3 21.72 cM	mouse chr3 C|3 21.72 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	26570	Slc7a11
mouse chr12 C3|12 33.11 cM	mouse chr12 C3|12 33.11 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	319565	Syne2
mouse chr7 F1|7 59.46 cM	mouse chr7 F1|7 59.46 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18576	Pde3b
mouse chr19 C2|19 32.28 cM	mouse chr19 C2|19 32.28 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15242	Hhex
mouse chr9 F2|9 60.92 cM	mouse chr9 F2|9 60.92 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	54199	Ccrl2
mouse chr16 C4|16 57.51 cM	mouse chr16 C4|16 57.51 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17858	Mx2
mouse chr4 C4|4 41.91 cM	mouse chr4 C4|4 41.91 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15977	Ifnb1
mouse chr5 G3|5 87.01 cM	mouse chr5 G3|5 87.01 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14254	Flt1
mouse chr4 A2|4 6.7 cM	mouse chr4 A2|4 6.7 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	192656	Ripk2
mouse chr5 B1|5 15.7 cM	mouse chr5 B1|5 15.7 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16193	Il6
mouse chr16 B3|16 25.72 cM	mouse chr16 B3|16 25.72 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12524	Cd86
mouse chr2 A3|2 18.91 cM	mouse chr2 A3|2 18.91 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18128	Notch1
mouse chr11 D|11 62.45 cM	mouse chr11 D|11 62.45 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12985	Csf3
mouse chr8 B3.3|8 34.21 cM	mouse chr8 B3.3|8 34.21 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16161	Il12rb1
mouse chr17 B1|17 18.5 cM	mouse chr17 B1|17 18.5 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15511	Hspa1b
mouse chr10 B4|10 28.64 cM	mouse chr10 B4|10 28.64 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14609	Gja1
mouse chr1 H3|1 80.83 cM	mouse chr1 H3|1 80.83 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	226695	Ifi205
mouse chr17 A1|17 8.75 cM	mouse chr17 A1|17 8.75 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20656	Sod2
mouse chr16 A1|16 2.18 cM	mouse chr16 A1|16 2.18 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	54483	Mefv
mouse chr8 D3|8 57.11 cM	mouse chr8 D3|8 57.11 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15439	Hp
mouse chr11 B1.1|11 25.94 cM	mouse chr11 B1.1|11 25.94 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16160	Il12b
mouse chr14 D3|14 39.37 cM	mouse chr14 D3|14 39.37 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15558	Htr2a
mouse chr2 B|2 21.75 cM	mouse chr2 B|2 21.75 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	64292	Ptges
mouse chr14 E2.3|14 53.05 cM	mouse chr14 E2.3|14 53.05 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	13618	Ednrb
mouse chr12 A3|12 15.78 cM	mouse chr12 A3|12 15.78 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	11622	Ahr
mouse chrX A1.1|X 3.55 cM	mouse chrX A1.1|X 3.55 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	18715	Pim2
mouse chr1 C1.1|1 26.67 cM	mouse chr1 C1.1|1 26.67 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20849	Stat4
mouse chrX|X F5 and Y E	mouse chrX|X F5 and Y E	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	654820	G530011O06Rik
mouse chr18 E1|18 35.1 cM	mouse chr18 E1|18 35.1 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	11555	Adrb2
mouse chr8 A4|8 22.78 cM	mouse chr8 A4|8 22.78 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	244418	Prag1
mouse chr1 H3|1 79.86 cM	mouse chr1 H3|1 79.86 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	93842	Igsf9
mouse chr2 B|2 24.41 cM	mouse chr2 B|2 24.41 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	59126	Nek6
mouse chr7 F3|7 68.94 cM	mouse chr7 F3|7 68.94 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16190	Il4ra
mouse chr3 F1|3 39.9 cM	mouse chr3 F1|3 39.9 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20201	S100a8
mouse chr16 C4|16 53.6 cM	mouse chr16 C4|16 53.6 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	54720	Rcan1
mouse chr12 A2|12 9.69 cM	mouse chr12 A2|12 9.69 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	22169	Cmpk2
mouse chr11 B1.3|11 32.0 cM	mouse chr11 B1.3|11 32.0 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16362	Irf1
mouse chr17 A3.3|17 13.28 cM	mouse chr17 A3.3|17 13.28 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	19252	Dusp1
mouse chr16 A1|16 5.81 cM	mouse chr16 A1|16 5.81 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12703	Socs1
mouse chr2 F3|2 67.73 cM	mouse chr2 F3|2 67.73 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16449	Jag1
mouse chr5 B3|5 23.85 cM	mouse chr5 B3|5 23.85 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12494	Cd38
mouse chr13 A3.2|13 13.78 cM	mouse chr13 A3.2|13 13.78 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	20708	Serpinb6b
mouse chr5 E2|5 46.51 cM	mouse chr5 E2|5 46.51 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	17329	Cxcl9
mouse chr5 F|5 55.29 cM	mouse chr5 F|5 55.29 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	320129	Grk3
mouse chr1 E4|1 57.95 cM	mouse chr1 E4|1 57.95 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	381290	Atp2b4
mouse chr4 A1|4 5.34 cM	mouse chr4 A1|4 5.34 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14579	Gem
mouse chr9 F1|9 57.99 cM	mouse chr9 F1|9 57.99 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12700	Cish
mouse chr7 A3-B1|7 16.72 cM	mouse chr7 A3-B1|7 16.72 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	22695	Zfp36
mouse chr15 D1|15 24.01 cM	mouse chr15 D1|15 24.01 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	387609	Zhx2
mouse chr2 F1|2 62.97 cM	mouse chr2 F1|2 62.97 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	16176	Il1b
mouse chr7 B3|7 25.35 cM	mouse chr7 B3|7 25.35 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	12447	Ccne1
mouse chr5 A3|5 9.83 cM	mouse chr5 A3|5 9.83 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14190	Fgl2
mouse chr8 A1.1|8 5.35 cM	mouse chr8 A1.1|8 5.35 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	384783	Irs2
mouse chr8 35.59 cM|8 C1	mouse chr8 35.59 cM|8 C1	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15368	Hmox1
mouse chr8 E1|8 70.05 cM	mouse chr8 E1|8 70.05 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	15900	Irf8
mouse chr11 A3.1|11 13.81 cM	mouse chr11 A3.1|11 13.81 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	67245	Peli1
mouse chr8 A3|8 20.69 cM	mouse chr8 A3|8 20.69 cM	0.019484548876888	-3.93813349278753	1	1	0.00212314225053079	471	24173	14782	Gsr
