time	cc	gene	type	time.val
0.25hr	0.00212216593886325	B430306N03Rik	M0	0.25
0.25hr	0.000511937683616575	Bambi	M0	0.25
0.25hr	0.000482803234328233	Batf	M0	0.25
0.25hr	0.00093704805891178	Batf2	M0	0.25
0.25hr	0.000966534929241896	Bcl2a1a	M0	0.25
0.25hr	0.000914134367193493	Bcl2a1d	M0	0.25
0.25hr	0.00112871624374498	Bcl2l11	M0	0.25
0.25hr	0.000420012694690339	Bcor	M0	0.25
0.25hr	0.00113915448490306	Bmp2	M0	0.25
0.25hr	0.000561360225610434	Bst1	M0	0.25
0.25hr	0.0518058926422545	Btg2	M0	0.25
0.25hr	0.000577964257616544	C920009B18Rik	M0	0.25
0.25hr	0.000684183796391839	Cacna1d	M0	0.25
0.25hr	0.00106968212454347	Cacnb3	M0	0.25
0.25hr	0.00146938829693142	Calhm6	M0	0.25
0.25hr	0.000485992169972093	Card6	M0	0.25
0.25hr	0.000244823589112612	Carmil1	M0	0.25
0.25hr	0.00116737857300568	Casp4	M0	0.25
0.25hr	0.000290563991312753	Cav1	M0	0.25
0.25hr	0.000495448182417588	Ccl1	M0	0.25
0.25hr	0.00761791542100766	Ccl12	M0	0.25
0.25hr	0.000361838878530538	Ccl17	M0	0.25
0.25hr	0.0325232356091626	Ccl2	M0	0.25
0.25hr	0.000475809401228783	Ccl22	M0	0.25
0.25hr	0.0189665540540094	Ccl3	M0	0.25
0.25hr	0.0771627510751852	Ccl4	M0	0.25
0.25hr	0.00143336590574492	Ccl5	M0	0.25
0.25hr	0.0231769879847694	Ccl7	M0	0.25
0.25hr	0.0012600287775103	Ccl8	M0	0.25
0.25hr	0.00200027883237875	Ccnd1	M0	0.25
0.25hr	0.00017615471124569	Ccnd2	M0	0.25
0.25hr	0.00168362809587289	Ccne1	M0	0.25
0.25hr	0.00942739015831714	Ccr1	M0	0.25
0.25hr	0.00120161283977094	Ccr3	M0	0.25
0.25hr	0.00499033262956375	Ccrl2	M0	0.25
0.25hr	0.00884257171228717	Cd14	M0	0.25
0.25hr	0.000583135181953966	Cd163	M0	0.25
0.25hr	0.000869513953775384	Cd200	M0	0.25
0.25hr	0.00234684923077175	Cd300e	M0	0.25
0.25hr	0.00123270591828306	Cd300lf	M0	0.25
0.25hr	0.00228807638112361	Cd34	M0	0.25
0.25hr	0.000465768327091219	Cd38	M0	0.25
0.25hr	0.00115495780950494	Cd40	M0	0.25
0.25hr	0.000794827420192911	Cd55	M0	0.25
0.25hr	0.00951704176145789	Cd69	M0	0.25
0.25hr	0.000342525654818202	Cd80	M0	0.25
0.25hr	0.00239893353383408	Cd83	M0	0.25
0.25hr	0.000509422743200218	Cd86	M0	0.25
0.25hr	0.000463755067342593	Cdc42ep2	M0	0.25
0.25hr	0.000734489816007978	Cdc42ep4	M0	0.25
0.25hr	0.0013468162490336	Cdk5r1	M0	0.25
0.25hr	0.000709941746975166	Cebpd	M0	0.25
0.25hr	0.00110806997955669	Cemip2	M0	0.25
0.25hr	0.0283313516375787	Ch25h	M0	0.25
0.25hr	0.000422179592484419	Chst11	M0	0.25
0.25hr	0.000694839670470615	Ciita	M0	0.25
0.25hr	0.00158248325235993	Cish	M0	0.25
0.25hr	0.00507517294936176	Cited2	M0	0.25
0.25hr	0.000728614091339335	Clcf1	M0	0.25
0.25hr	0.000875063112797127	Clec4e	M0	0.25
0.25hr	0.00047795561527328	Clec4n	M0	0.25
0.25hr	0.000597012681876393	Clec5a	M0	0.25
0.25hr	0.000452941766926497	Clic5	M0	0.25
0.25hr	0.00019842135601873	Clmp	M0	0.25
0.25hr	0.000888355770820784	Cmpk2	M0	0.25
0.25hr	0.000436364858814805	Cnn3	M0	0.25
0.25hr	0.000773378583363213	Col18a1	M0	0.25
0.25hr	0.000538423331171783	Col27a1	M0	0.25
0.25hr	0.00100320738336335	Cp	M0	0.25
0.25hr	0.000714337708770856	Csf1	M0	0.25
0.25hr	0.00073383488635184	Csf3	M0	0.25
0.25hr	0.00551790449398758	Csrnp1	M0	0.25
0.25hr	0.000365681121631297	Cst7	M0	0.25
0.25hr	0.00249793695202476	Ctla2a	M0	0.25
0.25hr	0.00240480965737443	Ctla2b	M0	0.25
0.25hr	0.000329658244157833	Cx3cl1	M0	0.25
0.25hr	0.00117921171297265	Cx3cr1	M0	0.25
0.25hr	0.00275280891121057	Cxcl1	M0	0.25
0.25hr	0.0012439880209019	Cxcl10	M0	0.25
0.25hr	0.000382519874888284	Cxcl11	M0	0.25
0.25hr	0.000699556836007419	Cxcl14	M0	0.25
0.25hr	0.152541443045937	Cxcl2	M0	0.25
0.25hr	0.0008561961301582	Cxcl3	M0	0.25
0.25hr	0.0014340770460217	Cxcl9	M0	0.25
0.25hr	0.000752708823858637	D16Ertd472e	M0	0.25
0.25hr	0.00372761681560274	Ddit4	M0	0.25
0.25hr	0.00104450657317624	Dio2	M0	0.25
0.25hr	0.00195980832647086	Dmwd	M0	0.25
0.25hr	0.000897573529651333	Dmxl2	M0	0.25
0.25hr	0.00057546858517085	Dnase1l3	M0	0.25
0.25hr	0.00218056334641468	Dnmt3aos	M0	0.25
0.25hr	0.0613482737487134	Dusp1	M0	0.25
0.25hr	0.000684288424107757	Dusp14	M0	0.25
0.25hr	0.000887484596512806	Dusp16	M0	0.25
0.25hr	0.0692810753695488	Dusp2	M0	0.25
0.25hr	0.00167603520031469	Dusp4	M0	0.25
0.25hr	0.00370338648937823	Dusp5	M0	0.25
0.25hr	0.00369409852623792	Dusp6	M0	0.25
0.25hr	0.000369728423349017	Dusp8	M0	0.25
0.25hr	0.000682471371105529	Edn1	M0	0.25
0.25hr	0.000805884678177364	Ednrb	M0	0.25
0.25hr	0.0010723627392722	Egln3	M0	0.25
0.25hr	0.0886423205763898	Egr1	M0	0.25
0.25hr	0.0151964820306986	Egr2	M0	0.25
0.25hr	0.000409341015886696	Egr3	M0	0.25
0.25hr	0.00249447851612128	Ehd1	M0	0.25
0.25hr	0.000343990949015422	Eno2	M0	0.25
0.25hr	0.00107318298259751	Errfi1	M0	0.25
0.25hr	0.000861919196356695	Ets2	M0	0.25
0.25hr	0.00125029875995687	Fabp7	M0	0.25
0.25hr	0.000855010553362556	Fam43a	M0	0.25
0.25hr	0.00105783894437839	Fcgr2b	M0	0.25
0.25hr	0.000302023777778115	Fgl2	M0	0.25
0.25hr	0.00033092080357149	Flnb	M0	0.25
0.25hr	8.51686644478299e-05	Flrt3	M0	0.25
0.25hr	0.000510210023035116	Flt1	M0	0.25
0.25hr	0.00153385596859122	Fmnl2	M0	0.25
0.25hr	0.053320345039301	Fos	M0	0.25
0.25hr	0.0153802817854645	Fosb	M0	0.25
0.25hr	0.000506510283903903	Foxp4	M0	0.25
0.25hr	0.000104521832160176	Fpr1	M0	0.25
0.25hr	0.000773157031558119	Fpr2	M0	0.25
0.25hr	0.000629265372259618	Frmd6	M0	0.25
0.25hr	0.000318500438112465	Fscn1	M0	0.25
0.25hr	0.000860916804679611	Fzd1	M0	0.25
0.25hr	0.00671046295273406	G530011O06Rik	M0	0.25
0.25hr	0.000968360252029315	Gbp7	M0	0.25
0.25hr	0.00112653941360242	Gclm	M0	0.25
0.25hr	0.000986490736076063	Gcnt2	M0	0.25
0.25hr	0.000359221224350877	Gda	M0	0.25
0.25hr	0.005766861543818	Gdf15	M0	0.25
0.25hr	0.000706516647629186	Gem	M0	0.25
0.25hr	0.000425401240929819	Gfi1	M0	0.25
0.25hr	0.00153254927214437	Gja1	M0	0.25
0.25hr	0.000279880285202518	Glipr2	M0	0.25
0.25hr	0.0010051569629102	Gm16712	M0	0.25
0.25hr	0.00198890110556688	Gm19026	M0	0.25
0.25hr	0.000867588643418869	Gm1966	M0	0.25
0.25hr	0.000524118803494702	Gm47283	M0	0.25
0.25hr	0.000400211710743459	Gm4951	M0	0.25
0.25hr	0.000388444342011235	Gm5150	M0	0.25
0.25hr	0.0027649024957025	Gm6377	M0	0.25
0.25hr	0.000626985258089951	Gm9855	M0	0.25
0.25hr	0.000143684901347154	Gna15	M0	0.25
0.25hr	0.00186733043334709	Gng4	M0	0.25
0.25hr	0.0013832998070433	Gpr132	M0	0.25
0.25hr	0.000499604755712569	Gpr141	M0	0.25
0.25hr	0.00078681340695454	Gpr18	M0	0.25
0.25hr	0.000183713991645676	Gpr35	M0	0.25
0.25hr	0.000495779761280509	Gpr68	M0	0.25
0.25hr	0.00349772768594034	Gpr84	M0	0.25
0.25hr	0.000665592013376338	Gpr85	M0	0.25
0.25hr	0.00130099493104462	Grk3	M0	0.25
0.25hr	0.000899078348965287	Gsr	M0	0.25
0.25hr	0.000387679035841849	Gsta3	M0	0.25
0.25hr	0.00775837811572784	H1f2	M0	0.25
0.25hr	0.000882045677085713	H2.Eb1	M0	0.25
0.25hr	0.00147563286778975	H2.K2	M0	0.25
0.25hr	0.000435211082591449	H2.M2	M0	0.25
0.25hr	0.00055419895163589	H60b	M0	0.25
0.25hr	0.00104157007810655	Hcar2	M0	0.25
0.25hr	0.000565227264281789	Heatr9	M0	0.25
0.25hr	0.000852506773125042	Hhex	M0	0.25
0.25hr	0.00257166996510982	Hilpda	M0	0.25
0.25hr	0.00046405726888193	Hivep3	M0	0.25
0.25hr	0.00226887553901005	Hmga2	M0	0.25
0.25hr	0.000650711910979236	Hmox1	M0	0.25
0.25hr	0.000963469686907587	Hopx	M0	0.25
0.25hr	0.000694404290169298	Hp	M0	0.25
0.25hr	0.00143567776558472	Hsd17b7	M0	0.25
0.25hr	0.000298027394771174	Hspa1a	M0	0.25
0.25hr	0.00105190443669492	Hspa1b	M0	0.25
0.25hr	0.00106555331430316	Htr2a	M0	0.25
0.25hr	0.00100738103093772	Htr2b	M0	0.25
0.25hr	0.000520900574733661	Htra1	M0	0.25
0.25hr	0.000236678025421974	Icam1	M0	0.25
0.25hr	0.000700130718009668	Icosl	M0	0.25
0.25hr	0.00114252519250673	Idi1	M0	0.25
0.25hr	0.249542396599691	Ier2	M0	0.25
0.25hr	0.0788949841092745	Ier3	M0	0.25
0.25hr	0.000649959023636489	Ifi205	M0	0.25
0.25hr	0.000663568395987913	Ifi208	M0	0.25
0.25hr	0.00462796516271	Ifit1	M0	0.25
0.25hr	0.00139997642480758	Ifit1bl1	M0	0.25
0.25hr	0.00571090073929674	Ifit2	M0	0.25
0.25hr	0.0338394638393633	Ifit3	M0	0.25
0.25hr	0.00973991162774784	Ifit3b	M0	0.25
0.25hr	0.00107848477808369	Ifitm1	M0	0.25
0.25hr	0.000297399028169325	Ifnb1	M0	0.25
0.25hr	0.000588537216982932	Ifrd1	M0	0.25
0.25hr	0.000915660257859506	Igf2bp2	M0	0.25
0.25hr	0.000251105853082425	Igsf9	M0	0.25
0.25hr	0.000365986209963111	Iigp1	M0	0.25
0.25hr	0.000405981071132206	Il10	M0	0.25
0.25hr	0.0010123290153721	Il12b	M0	0.25
0.25hr	0.000281957514824179	Il12rb1	M0	0.25
0.25hr	0.000200207778177697	Il18rap	M0	0.25
0.25hr	0.000821310239238064	Il1a	M0	0.25
0.25hr	0.00047113722553669	Il1b	M0	0.25
0.25hr	0.00107337080126117	Il1rn	M0	0.25
0.25hr	0.000745552425419398	Il27	M0	0.25
0.25hr	0.000224910340007579	Il4i1	M0	0.25
0.25hr	0.000346776029326863	Il4ra	M0	0.25
0.25hr	0.000201864766007404	Il6	M0	0.25
0.25hr	0.00136497467123952	Inhba	M0	0.25
0.25hr	0.00127922614759669	Intu	M0	0.25
0.25hr	0.0708477585053977	Irf1	M0	0.25
0.25hr	0.000594231538555242	Irf3	M0	0.25
0.25hr	0.00121991037439046	Irf4	M0	0.25
0.25hr	0.00175952003975097	Irf7	M0	0.25
0.25hr	0.000800815675808107	Irf8	M0	0.25
0.25hr	0.000892977395277747	Irs2	M0	0.25
0.25hr	9.151525252569e-05	Itga9	M0	0.25
0.25hr	0.00118241678065143	Itgal	M0	0.25
0.25hr	0.000910857681756246	Itgb8	M0	0.25
0.25hr	0.000826735216488749	Itpr1	M0	0.25
0.25hr	0.00110823584869025	Jag1	M0	0.25
0.25hr	0.00051323948820732	Jdp2	M0	0.25
0.25hr	0.00566097878232772	Jun	M0	0.25
0.25hr	0.135793668448615	Junb	M0	0.25
0.25hr	0.00119654694376735	Kcnj2	M0	0.25
0.25hr	0.000599178071387457	Kdm6b	M0	0.25
0.25hr	0.00082781307159662	Kdr	M0	0.25
0.25hr	0.0086938824934695	Klf2	M0	0.25
0.25hr	0.000390033881856783	Klf7	M0	0.25
0.25hr	0.000725410615471752	Klf8	M0	0.25
0.25hr	0.00101377931453731	Klra2	M0	0.25
0.25hr	0.00059497140998638	Lad1	M0	0.25
0.25hr	0.000213950386799304	Lcn2	M0	0.25
0.25hr	0.00179759876799125	Ldlr	M0	0.25
0.25hr	0.000494332892885726	Lif	M0	0.25
0.25hr	0.00188905368483507	Lipg	M0	0.25
0.25hr	0.000277398553574139	Lox	M0	0.25
0.25hr	0.000854843918489871	Lpar1	M0	0.25
0.25hr	0.00103186430774132	Lratd2	M0	0.25
0.25hr	0.000428213759704464	Lrp8	M0	0.25
0.25hr	0.00036668469151909	Ltbp2	M0	0.25
0.25hr	0.00032126388778764	Ly6a	M0	0.25
0.25hr	0.00140094880450363	Maff	M0	0.25
0.25hr	0.00200978946425435	Malt1	M0	0.25
0.25hr	0.0032552956207162	Marcksl1	M0	0.25
0.25hr	0.000963873760894766	Marco	M0	0.25
0.25hr	0.000409187669883336	Mefv	M0	0.25
0.25hr	0.000356306673684961	Mfap3l	M0	0.25
0.25hr	0.00119542339411617	Mir155hg	M0	0.25
0.25hr	0.000115200415552006	Mmd	M0	0.25
0.25hr	0.00130351826915038	Mmp13	M0	0.25
0.25hr	0.000891161797708237	Mmp14	M0	0.25
0.25hr	0.000554814541741671	Mmp8	M0	0.25
0.25hr	0.00061179879785827	Mmp9	M0	0.25
0.25hr	0.000837451398405729	Mpp7	M0	0.25
0.25hr	0.002020799844859	Ms4a4a	M0	0.25
0.25hr	0.0025086828133531	Mt1	M0	0.25
0.25hr	0.00178506314655967	Mt2	M0	0.25
0.25hr	0.000607727437990745	Mtfr2	M0	0.25
0.25hr	0.000383084557822987	Mtus1	M0	0.25
0.25hr	0.000430096559647708	Mx1	M0	0.25
0.25hr	0.000455696189778667	Mx2	M0	0.25
0.25hr	0.000681559004777767	Mxd1	M0	0.25
0.25hr	0.00136423693877161	Myc	M0	0.25
0.25hr	0.000279358955848185	Mycl	M0	0.25
0.25hr	0.000151464238019799	Myo1b	M0	0.25
0.25hr	0.000711667911115723	Nek6	M0	0.25
0.25hr	0.000709182992933818	Nes	M0	0.25
0.25hr	0.0157487849462432	Nfil3	M0	0.25
0.25hr	0.000593065057408351	Nfkb1	M0	0.25
0.25hr	0.000406015223686803	Nfkb2	M0	0.25
0.25hr	0.0270191357297511	Nfkbia	M0	0.25
0.25hr	0.00380998147313992	Nfkbid	M0	0.25
0.25hr	0.00046933172962565	Nfkbie	M0	0.25
0.25hr	0.0610665864417195	Nfkbiz	M0	0.25
0.25hr	0.000730976484489745	Noct	M0	0.25
0.25hr	0.000854215977416596	Nos2	M0	0.25
0.25hr	0.000793705469150308	Notch1	M0	0.25
0.25hr	0.000841311010640539	Nqo1	M0	0.25
0.25hr	0.00876020338168463	Nr4a1	M0	0.25
0.25hr	0.00189588221391274	Nr4a3	M0	0.25
0.25hr	0.00117103680275016	Oaf	M0	0.25
0.25hr	0.000848336261159838	Oasl1	M0	0.25
0.25hr	0.00189733473837272	Odc1	M0	0.25
0.25hr	0.000701577533292236	Olfml3	M0	0.25
0.25hr	0.000431778992714767	Olr1	M0	0.25
0.25hr	0.000294762253532102	Orai2	M0	0.25
0.25hr	0.00795501323019361	Osm	M0	0.25
0.25hr	0.00216592536350258	Otud1	M0	0.25
0.25hr	0.00114080391606362	P2ry13	M0	0.25
0.25hr	0.000570110130634897	P2ry2	M0	0.25
0.25hr	0.000642491871509558	P4ha2	M0	0.25
0.25hr	0.000271386750809558	Pcx	M0	0.25
0.25hr	0.00105093173580301	Pde3b	M0	0.25
0.25hr	0.000523574040750489	Pde4b	M0	0.25
0.25hr	0.00015323204701003	Pde5a	M0	0.25
0.25hr	0.000831617935966663	Pde7b	M0	0.25
0.25hr	0.00078305196982029	Pdgfb	M0	0.25
0.25hr	0.000505475369656826	Pdlim7	M0	0.25
0.25hr	0.00178198523787209	Pdpn	M0	0.25
0.25hr	0.000551502965804928	Peli1	M0	0.25
0.25hr	0.000716163852878027	Pfkfb3	M0	0.25
0.25hr	0.0432437018336233	Phlda1	M0	0.25
0.25hr	0.000823047745637333	Phldb1	M0	0.25
0.25hr	0.000482032853333913	Pilra	M0	0.25
0.25hr	0.00123153920335368	Pilrb1	M0	0.25
0.25hr	0.00149583285956171	Pim2	M0	0.25
0.25hr	0.000476600170816354	Pim3	M0	0.25
0.25hr	9.91031130053996e-05	Pla2g7	M0	0.25
0.25hr	0.000589401778944411	Plac8	M0	0.25
0.25hr	0.000605256265011821	Plagl1	M0	0.25
0.25hr	0.000403392446970567	Plat	M0	0.25
0.25hr	0.00081704855027894	Plau	M0	0.25
0.25hr	0.000651277270970532	Plekhg1	M0	0.25
0.25hr	0.0258959589302029	Plk2	M0	0.25
0.25hr	0.000403399470418047	Plk3	M0	0.25
0.25hr	0.00108933704787569	Plpp1	M0	0.25
0.25hr	0.000162104951324575	Plpp3	M0	0.25
0.25hr	0.000345107250525465	Pmaip1	M0	0.25
0.25hr	0.00198069407297187	Pmepa1	M0	0.25
0.25hr	0.00120190853328883	Pou2f2	M0	0.25
0.25hr	0.000219532084069911	Ppfia3	M0	0.25
0.25hr	0.000196318885834624	Ppm1l	M0	0.25
0.25hr	0.000825908029500382	Ppp1r12b	M0	0.25
0.25hr	0.0433619860282478	Ppp1r15a	M0	0.25
0.25hr	0.000474187015637972	Prag1	M0	0.25
0.25hr	0.000135855894830668	Prdm1	M0	0.25
0.25hr	0.00139379920921311	Prdm9	M0	0.25
0.25hr	0.00171456315674691	Procr	M0	0.25
0.25hr	0.000994127680850696	Prokr1	M0	0.25
0.25hr	0.000433480606688639	Prrg4	M0	0.25
0.25hr	0.0012549282747437	Ptafr	M0	0.25
0.25hr	0.00106751453462605	Ptch1	M0	0.25
0.25hr	0.000231833261531271	Ptger4	M0	0.25
0.25hr	0.000682136118879051	Ptges	M0	0.25
0.25hr	0.000796548298701012	Ptgir	M0	0.25
0.25hr	0.00122202516042643	Ptgs2	M0	0.25
0.25hr	0.000219869946897917	Rab11fip1	M0	0.25
0.25hr	0.000791684982878649	Rab19	M0	0.25
0.25hr	0.00169392786904082	Ralgds	M0	0.25
0.25hr	0.000253473076494317	Rapgef5	M0	0.25
0.25hr	0.000589401778944731	Rasgrp1	M0	0.25
0.25hr	0.00346036728224226	Rcan1	M0	0.25
0.25hr	0.00164385222811694	Rela	M0	0.25
0.25hr	0.000589401778944411	Retnla	M0	0.25
0.25hr	0.00027072762205957	Rffl	M0	0.25
0.25hr	0.000316100582794242	Rgcc	M0	0.25
0.25hr	0.0014385841203085	Rgs1	M0	0.25
0.25hr	0.00175856519913445	Rgs3	M0	0.25
0.25hr	0.000146455325188884	Rhof	M0	0.25
0.25hr	0.00014204072805162	Rhoh	M0	0.25
0.25hr	0.000891829947504526	Rhou	M0	0.25
0.25hr	0.000189575447231061	Ripk2	M0	0.25
0.25hr	0.000461567301963747	Rnd1	M0	0.25
0.25hr	0.00193734779993686	Rnd3	M0	0.25
0.25hr	0.000703934211329789	Rras2	M0	0.25
0.25hr	0.00111273723472632	Rsad2	M0	0.25
0.25hr	0.000558341820675681	S100a8	M0	0.25
0.25hr	0.00101014601650946	Saa3	M0	0.25
0.25hr	0.000778032929015173	Samsn1	M0	0.25
0.25hr	0.000215124461045913	Scimp	M0	0.25
0.25hr	0.000425625739881274	Scn1b	M0	0.25
0.25hr	0.000335910839317086	Sdc2	M0	0.25
0.25hr	0.00183424272966205	Sdc4	M0	0.25
0.25hr	0.000435812942552782	Sele	M0	0.25
0.25hr	0.000142719475099193	Serpina3f	M0	0.25
0.25hr	0.000109264690680643	Serpina3g	M0	0.25
0.25hr	0.001094308795915	Serpinb2	M0	0.25
0.25hr	0.001401616315059	Serpinb6b	M0	0.25
0.25hr	0.000517173946491629	Serpinb9	M0	0.25
0.25hr	0.000433930595859329	Serpinb9b	M0	0.25
0.25hr	0.000203778108563736	Serpine1	M0	0.25
0.25hr	0.000466569127594501	Shisa3	M0	0.25
0.25hr	0.000632916585007556	Siglece	M0	0.25
0.25hr	0.00062310045090328	Sla	M0	0.25
0.25hr	0.000951119254404568	Slamf8	M0	0.25
0.25hr	0.00196388318368316	Slamf9	M0	0.25
0.25hr	0.000252484253898505	Slc13a3	M0	0.25
0.25hr	9.70944019615364e-05	Slc16a1	M0	0.25
0.25hr	0.000507812160540397	Slc16a3	M0	0.25
0.25hr	0.000869861335548808	Slc25a25	M0	0.25
0.25hr	0.000558392294896273	Slc28a2	M0	0.25
0.25hr	0.00104021139524235	Slc30a4	M0	0.25
0.25hr	0.00048401169635593	Slc7a11	M0	0.25
0.25hr	0.00122618809729674	Slc7a2	M0	0.25
0.25hr	0.000152990536342407	Slco3a1	M0	0.25
0.25hr	0.000511481741966637	Slfn4	M0	0.25
0.25hr	0.000444462898377377	Slpi	M0	0.25
0.25hr	0.000210281709556855	Snn	M0	0.25
0.25hr	0.00126028905250284	Socs1	M0	0.25
0.25hr	0.491733345118836	Socs3	M0	0.25
0.25hr	0.000755679473922155	Sod2	M0	0.25
0.25hr	0.000414222133050144	Spaca6	M0	0.25
0.25hr	0.000816087121829818	Spata13	M0	0.25
0.25hr	0.000754293757689626	Sphk1	M0	0.25
0.25hr	0.000643090774560177	Spic	M0	0.25
0.25hr	0.00041155747461009	Spsb1	M0	0.25
0.25hr	0.000296339660503849	Srxn1	M0	0.25
0.25hr	0.000692337379755598	Stat4	M0	0.25
0.25hr	0.00047846718504242	Swap70	M0	0.25
0.25hr	0.000121149261651505	Syne2	M0	0.25
0.25hr	0.000971585930575691	Taf4b	M0	0.25
0.25hr	0.0160541332625019	Tagap	M0	0.25
0.25hr	0.000603495667429106	Tal2	M0	0.25
0.25hr	0.00146949187244988	Tarm1	M0	0.25
0.25hr	0.0012083806755177	Tfec	M0	0.25
0.25hr	0.00752608630956101	Tgtp1	M0	0.25
0.25hr	0.000930652070770604	Thbs1	M0	0.25
0.25hr	0.000658428126458072	Timp1	M0	0.25
0.25hr	0.0013255149124806	Tle3	M0	0.25
0.25hr	0.000291622167526759	Tlr2	M0	0.25
0.25hr	0.00117992821339268	Tlr4	M0	0.25
0.25hr	0.00223511325495047	Tlr7	M0	0.25
0.25hr	0.000741273195237775	Tlr9	M0	0.25
0.25hr	0.00141635081165773	Tma16	M0	0.25
0.25hr	0.000495448182418228	Tmeff1	M0	0.25
0.25hr	0.000744853003296217	Tmem178	M0	0.25
0.25hr	0.000242297687408405	Tmtc2	M0	0.25
0.25hr	0.000545888109580701	Tnc	M0	0.25
0.25hr	0.318562896333679	Tnf	M0	0.25
0.25hr	0.00198079000161089	Tnfaip3	M0	0.25
0.25hr	0.00212736299934279	Tnfsf10	M0	0.25
0.25hr	0.000965279385533209	Tnfsf14	M0	0.25
0.25hr	0.00102016659976236	Tnfsf15	M0	0.25
0.25hr	0.000348433833343525	Tnfsf4	M0	0.25
0.25hr	0.000469458892326341	Tnfsf8	M0	0.25
0.25hr	0.0164328729650346	Tnfsf9	M0	0.25
0.25hr	0.00107373422077052	Tnip3	M0	0.25
0.25hr	0.00033455209476462	Traf1	M0	0.25
0.25hr	0.00359264022801796	Trem1	M0	0.25
0.25hr	0.00106893690865412	Treml4	M0	0.25
0.25hr	0.00137853311256113	Trib1	M0	0.25
0.25hr	0.000181442020843997	Trib3	M0	0.25
0.25hr	0.00115122607285824	Trim21	M0	0.25
0.25hr	0.000463651568549671	Trim30c	M0	0.25
0.25hr	0.00167111026490375	Trim36	M0	0.25
0.25hr	0.00062760652356058	Tsku	M0	0.25
0.25hr	0.00137723990081224	Ttc39b	M0	0.25
0.25hr	0.000330580490146903	U90926	M0	0.25
0.25hr	8.36184338232954e-05	Upp1	M0	0.25
0.25hr	0.000625331879801257	Vcam1	M0	0.25
0.25hr	0.000404668994050614	Vcan	M0	0.25
0.25hr	0.000438747649901721	Vegfc	M0	0.25
0.25hr	0.000443560286443328	Xcr1	M0	0.25
0.25hr	0.00336091193054831	Zc3h12a	M0	0.25
0.25hr	0.00256358967281028	Zc3h12c	M0	0.25
0.25hr	0.000460777048391235	Zeb1	M0	0.25
0.25hr	0.000884476353774095	Zfp324	M0	0.25
0.25hr	0.0851007048323955	Zfp36	M0	0.25
0.25hr	0.00119310885157448	Zfp811	M0	0.25
0.25hr	0.000819261186341311	Zhx2	M0	0.25
0.25hr	0.000210205585698888	Znrf3	M0	0.25
1hr	0.000745900527247457	X1110002J07Rik	M0	1
1hr	0.0216418156422408	X2500002B13Rik	M0	1
1hr	0.0125368887085268	X4930430E12Rik	M0	1
1hr	0.00380287675863039	A530064D06Rik	M0	1
1hr	0.00742927261189268	A630072M18Rik	M0	1
1hr	0.00226325013015469	AI504432	M0	1
1hr	0.0843674482297506	AW112010	M0	1
1hr	0.000565938020596234	Abtb2	M0	1
1hr	0.072905793342745	Acod1	M0	1
1hr	0.000880966353597494	Acpp	M0	1
1hr	0.000772322344285973	Adgb	M0	1
1hr	0.157290767623396	Adgre1	M0	1
1hr	0.00209206155022214	Adgre4	M0	1
1hr	0.00276652220230474	Adgrg6	M0	1
1hr	0.00424706635740147	Adgrl2	M0	1
1hr	0.00413771872828119	Adora2a	M0	1
1hr	0.0175096322424768	Adora2b	M0	1
1hr	0.214346763592053	Adrb2	M0	1
1hr	0.0659175948259493	Ahr	M0	1
