TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr13	mouse chr13	0.00328378174263394	-5.71875955043068	279	29	0.0198087431693989	1464	24173	20963,18030,20708,11774,110052,20706,210106,12328,13024,625360,20723,12522,13025,21810,16468,93692,69716,52552,408065,208715,19206,51791,16323,13003,14538,14706,12593,13206,13614	Syk,Nfil3,Serpinb6b,Ap3b1,Dek,Serpinb9b,Tent4a,Caml,Ctla2a,BC147527,Serpinb9,Cd83,Ctla2b,Tgfbi,Jarid2,Glrx,Trip13,Parp8,Zfp456,Hmgcs1,Ptch1,Rgs14,Inhba,Vcan,Gcnt2,Gng4,Cdyl,Ddx4,Edn1
mouse chr13 A3.2|13 13.79 cM	mouse chr13 A3.2|13 13.79 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	20723,20706	Serpinb9,Serpinb9b
mouse chr17 B1|17 18.65 cM	mouse chr17 B1|17 18.65 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	15016,15015	H2-Q5,H2-Q4
mouse chr11 A1|11 2.94 cM	mouse chr11 A1|11 2.94 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	16878,18413	Lif,Osm
mouse chr4 C1|4 34.06 cM	mouse chr4 C1|4 34.06 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	21923,21949	Tnc,Tnfsf8
mouse chr14 A3|14 16.09 cM	mouse chr14 A3|14 16.09 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	71704,11843	Arhgef3,Arf4
mouse chr5 F|5 60.65 cM	mouse chr5 F|5 60.65 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	246730,23960	Oas1a,Oas1g
mouse chr4 E1|4 78.17 cM	mouse chr4 E1|4 78.17 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	21941,21938	Tnfrsf8,Tnfrsf1b
mouse chr7 B1|7 19.3 cM	mouse chr7 B1|7 19.3 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	20266,52857	Scn1b,Gramd1a
mouse chr19 C3|19 38.8 cM	mouse chr19 C3|19 38.8 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	18034,73728	Nfkb2,Psd
mouse chr5 C3.1|5 32.8 cM	mouse chr5 C3.1|5 32.8 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	66681,57915	Pgm1,Tbc1d1
mouse chr17 D|17 29.08 cM	mouse chr17 D|17 29.08 cM	0.00366557631130648	-5.60876970871868	2	2	0.00136612021857923	1464	24173	100504333,50498	Gm16712,Ebi3
mouse chr10|10 A3	mouse chr10|10 A3	0.00610853629114047	-5.09806809404908	37	7	0.00478142076502732	1464	24173	19707,71804,379043,606736,73112,29863,667281	Reps1,Mtfr2,Raet1e,C920009B18Rik,Abracl,Pde7b,H60b
mouse chr8|8 C5	mouse chr8|8 C5	0.00821583263250355	-4.80169217748553	39	7	0.00478142076502732	1464	24173	434341,270084,320377,20299,109006,79233,101985	Nlrc5,Lpcat2,9330175E14Rik,Ccl22,Ciapin1,Zfp319,Usb1
mouse chr9|9 A1	mouse chr9|9 A1	0.00821583263250355	-4.80169217748553	39	7	0.00478142076502732	1464	24173	71929,270118,11796,75747,71946,11797,17386	Tmem123,Maml2,Birc3,Sesn3,Endod1,Birc2,Mmp13
mouse chr5 F|5 60.64 cM	mouse chr5 F|5 60.64 cM	0.00986031119370972	-4.61923754963747	8	3	0.00204918032786885	1464	24173	246728,246727,23961	Oas2,Oas3,Oas1b
mouse chr14|14 A2	mouse chr14|14 A2	0.00986031119370972	-4.61923754963747	8	3	0.00204918032786885	1464	24173	22194,69721,218793	Ube2e1,Nkiras1,Ube2e2
mouse chr3 H1|3 66.69 cM	mouse chr3 H1|3 66.69 cM	0.0105532989915675	-4.5513167673182	3	2	0.00136612021857923	1464	24173	14468,14469	Gbp2b,Gbp2
mouse chr1 A2|1 2.08 cM	mouse chr1 A2|1 2.08 cM	0.0105532989915675	-4.5513167673182	3	2	0.00136612021857923	1464	24173	59014,170755	Rrs1,Sgk3
mouse chr11 C|11 50.3 cM	mouse chr11 C|11 50.3 cM	0.0105532989915675	-4.5513167673182	3	2	0.00136612021857923	1464	24173	20556,20555	Slfn2,Slfn1
mouse chr4|4 D2.3	mouse chr4|4 D2.3	0.0123157306531892	-4.39687791882538	42	7	0.00478142076502732	1464	24173	230787,381560,53608,230801,623230,100169,100340	Themis2,Xkr8,Map3k6,Pigv,Tmem200b,Phactr4,Smpdl3b
mouse chr1|1 G3	mouse chr1|1 G3	0.0132076657126673	-4.32695788214346	33	6	0.00409836065573771	1464	24173	30935,226517,74081,240832,58244,208263	Tor3a,Smg7,Cep350,Tor1aip2,Stx6,Tor1aip1
mouse chr9|9 E2	mouse chr9|9 E2	0.0141306650868986	-4.25940801425693	9	3	0.00204918032786885	1464	24173	212531,83946,94353	Sh3bgrl2,Phip,Hmgn3
mouse chr10|10 A2	mouse chr10|10 A2	0.0168972584079165	-4.08060389459655	17	4	0.00273224043715847	1464	24173	215798,17684,15273,74732	Adgrg6,Cited2,Hivep2,Stx11
mouse chr4|4 B1	mouse chr4|4 B1	0.017563853003823	-4.04191229549196	66	9	0.00614754098360656	1464	24173	384009,100121,18124,72535,74735,230119,66665,230157,74152	Glipr2,Tdrd7,Nr4a3,Aldh1b1,Trim14,Zbtb5,Msantd3,Tmeff1,Stra6l
mouse chr11 B1.2|11	mouse chr11 B1.2|11	0.0202599440035175	-3.89910954405893	4	2	0.00136612021857923	1464	24173	100039796,620913	Tgtp2,Gm12185
mouse chr4 E2|4 78.67 cM	mouse chr4 E2|4 78.67 cM	0.0202599440035175	-3.89910954405893	4	2	0.00136612021857923	1464	24173	17769,11610	Mthfr,Agtrap
mouse chr2|2 C2	mouse chr2|2 C2	0.0214075545651132	-3.84401140218883	27	5	0.00341530054644809	1464	24173	241447,107435,241452,78830,75051	Cers6,Hat1,Dhrs9,Slc25a12,Ccdc173
mouse chr6|6 A2	mouse chr6|6 A2	0.0253473909674139	-3.67507947465921	11	3	0.00204918032786885	1464	24173	64213,21426,12389	St7,Tfec,Cav1
mouse chr14|14 D3	mouse chr14|14 D3	0.0272438925576646	-3.60292590931718	49	7	0.00478142076502732	1464	24173	271221,66214,380916,210808,380921,108670,70086	Rubcnl,Rgcc,Lrch1,Lacc1,Dgkh,Epsti1,Cysltr2
mouse chr19	mouse chr19	0.0279077327797442	-3.5788514679924	195	19	0.0129781420765027	1464	24173	53319,13728,73728,14544,16452,13660,17330,18034,18563,23972,12369,107373,14102,54683,15242,107272,104252,108673,667373	Nxf1,Mark2,Psd,Gda,Jak2,Ehd1,Minpp1,Nfkb2,Pcx,Papss2,Casp7,Fam111a,Fas,Prdx5,Hhex,Psat1,Cdc42ep2,Ccdc86,Ifit1bl1
mouse chr8|8 B3.1	mouse chr8|8 B3.1	0.0297896659928469	-3.51359372437596	20	4	0.00273224043715847	1464	24173	66282,234311,72333,71306	Tma16,Ddx60,Palld,Mfap3l
mouse chr9 F4|9 75.05 cM	mouse chr9 F4|9 75.05 cM	0.032419254872662	-3.42900274650869	5	2	0.00136612021857923	1464	24173	12768,12771	Ccr1,Ccr3
mouse chr16|16 C1.2	mouse chr16|16 C1.2	0.0401475023804219	-3.21519504773672	13	3	0.00204918032786885	1464	24173	73379,224250,54613	Dcbld2,Cldnd1,St3gal6
mouse chr18	mouse chr18	0.0447816536184863	-3.10595674088087	153	15	0.0102459016393443	1464	24173	225594,18596,14815,56736,16149,26410,13653,16948,110796,71683,19201,21417,12475,11555,28105	Gm4841,Pdgfrb,Nr3c1,Rnf14,Cd74,Map3k8,Egr1,Lox,Tshz1,Gypc,Pstpip2,Zeb1,Cd14,Adrb2,Trim36
mouse chr5 E1|5 44.78 cM	mouse chr5 E1|5 44.78 cM	0.0466989487134113	-3.0640336260508	6	2	0.00136612021857923	1464	24173	20310,14825	Cxcl2,Cxcl1
mouse chr11 C|11	mouse chr11 C|11	0.0466989487134113	-3.0640336260508	6	2	0.00136612021857923	1464	24173	629303,100034251	Heatr9,Wfdc17
mouse chr8 A4|8 23.89 cM	mouse chr8 A4|8 23.89 cM	0.0466989487134113	-3.0640336260508	6	2	0.00136612021857923	1464	24173	20288,11988	Msr1,Slc7a2
mouse chr4 D2.2|4 63.26 cM	mouse chr4 D2.2|4 63.26 cM	0.0466989487134113	-3.0640336260508	6	2	0.00136612021857923	1464	24173	433759,17357	Hdac1,Marcksl1
mouse chr5|5 E2	mouse chr5|5 E2	0.0472037143267156	-3.05328269612417	23	4	0.00273224043715847	1464	24173	23881,57425,56066,12452	G3bp2,U90926,Cxcl11,Ccng2
mouse chr14|14 C3	mouse chr14|14 C3	0.0512786359706593	-2.97048106635963	56	7	0.00478142076502732	1464	24173	236451,268749,239122,219103,219131,628705,56532	Phf11b,Rnf31,Setdb2,Cenpj,Phf11a,Phf11c,Ripk3
mouse chr9	mouse chr9	0.0549681292080169	-2.90100173065183	322	27	0.0184426229508197	1464	24173	54199,17874,18854,12768,26395,14739,102644,17436,12771,11737,12044,50875,16173,14629,26432,21345,11920,12700,104099,93730,11433,12363,12362,74153,15894,16835,23832	Ccrl2,Myd88,Pml,Ccr1,Map2k1,S1pr2,Oaf,Me1,Ccr3,Anp32a,Bcl2a1a,Tmod3,Il18,Gclc,Plod2,Tagln,Atm,Cish,Itga9,Lztfl1,Acp5,Casp4,Casp1,Uba7,Icam1,Ldlr,Xcr1
mouse chr17|17 C	mouse chr17|17 C	0.0595618591645305	-2.8207398566681	82	9	0.00614754098360656	1464	24173	74123,224860,56055,320148,58217,224840,328830,56738,328833	Foxp4,Plcl2,Gtpbp2,B430306N03Rik,Trem1,Treml4,A530064D06Rik,Mocs1,Treml2
mouse chr12 A1.1|12 8.11 cM	mouse chr12 A1.1|12 8.11 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	18263	Odc1
mouse chr2 H1|2 78.05 cM	mouse chr2 H1|2 78.05 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	19650	Rbl1
mouse chr13 A3.3|13 20.12 cM	mouse chr13 A3.3|13 20.12 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14538	Gcnt2
mouse chr10 C2|10 45.05 cM	mouse chr10 C2|10 45.05 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	213326	Scyl2
mouse chr11 C|11 50.66 cM	mouse chr11 C|11 50.66 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	20304	Ccl5
mouse chr4 A1|4 5.34 cM	mouse chr4 A1|4 5.34 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14579	Gem
mouse chr15 B3.1|15 13.98 cM	mouse chr15 B3.1|15 13.98 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	67154	Mtdh
mouse chr3 H3|3 77.05 cM	mouse chr3 H3|3 77.05 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	51886	Fubp1
mouse chr2 C3|2 47.38 cM	mouse chr2 C3|2 47.38 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	16401	Itga4
mouse chr15 F1|15 56.48 cM	mouse chr15 F1|15 56.48 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	11479	Acvr1b
mouse chr12 A1.1|12 1.71 cM	mouse chr12 A1.1|12 1.71 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	19325	Rab10
mouse chr16 A1|16 4.26 cM	mouse chr16 A1|16 4.26 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	52502	Carhsp1
mouse chr14 C2|14 27.79 cM	mouse chr14 C2|14 27.79 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	17387	Mmp14
mouse chr19 A|19 4.4 cM	mouse chr19 A|19 4.4 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13660	Ehd1
mouse chr5 E2|5 46.51 cM	mouse chr5 E2|5 46.51 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	17329	Cxcl9
mouse chr5 B1|5 15.7 cM	mouse chr5 B1|5 15.7 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	16193	Il6
mouse chr15 D1|15 26.19 cM	mouse chr15 D1|15 26.19 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	17869	Myc
mouse chr14 C3|14 31.48 cM	mouse chr14 C3|14 31.48 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	219132	Phf11d
mouse chr18 B1|18 18.76 cM	mouse chr18 B1|18 18.76 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13653	Egr1
mouse chr2 F1|2 61.88 cM	mouse chr2 F1|2 61.88 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	99138	Stard7
mouse chr1 C1.1|1 26.67 cM	mouse chr1 C1.1|1 26.67 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	20849	Stat4
mouse chr6 D1|6 37.81 cM	mouse chr6 D1|6 37.81 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14583	Gfpt1
mouse chr9 F4|9 74.36 cM	mouse chr9 F4|9 74.36 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	93730	Lztfl1
mouse chr12 F1|12 60.7 cM	mouse chr12 F1|12 60.7 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13424	Dync1h1
mouse chr8 E1|8 70.05 cM	mouse chr8 E1|8 70.05 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	15900	Irf8
mouse chr5 G2|5 81.84 cM	mouse chr5 G2|5 81.84 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14086	Fscn1
mouse chr11 C|11 49.83 cM	mouse chr11 C|11 49.83 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	20306	Ccl7
mouse chr4 E2|4 78.87 cM	mouse chr4 E2|4 78.87 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	69743	Casz1
mouse chr3 G3|3 62.82 cM	mouse chr3 G3|3 62.82 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	18033	Nfkb1
mouse chr17 A3.3|17 15.38 cM	mouse chr17 A3.3|17 15.38 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	18712	Pim1
mouse chr10 B5.1|10 34.96 cM	mouse chr10 B5.1|10 34.96 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13654	Egr2
mouse chr2 D|2 49.33 cM	mouse chr2 D|2 49.33 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	16410	Itgav
mouse chr15 D3|15 33.94 cM	mouse chr15 D3|15 33.94 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14083	Ptk2
mouse chr4 C6|4 46.99 cM	mouse chr4 C6|4 46.99 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	18578	Pde4b
mouse chr11 A1|11 3.87 cM	mouse chr11 A1|11 3.87 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13169	Dbnl
mouse chr13 A1|13 5.85 cM	mouse chr13 A1|13 5.85 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	16323	Inhba
mouse chr13 A3.3|13 14.39 cM	mouse chr13 A3.3|13 14.39 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12593	Cdyl
mouse chr16 C4|16 56.64 cM	mouse chr16 C4|16 56.64 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	23872	Ets2
mouse chr17 17.98 cM|17 B1	mouse chr17 17.98 cM|17 B1	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	630499	H2-K2
mouse chr19 C1|19 29.48 cM	mouse chr19 C1|19 29.48 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14102	Fas
mouse chr6 A1|6 1.76 cM	mouse chr6 A1|6 1.76 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	209086	Samd9l
mouse chr14 E2.1|14 48.25 cM	mouse chr14 E2.1|14 48.25 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13134	Dach1
mouse chr1 E4|1 58.1 cM	mouse chr1 E4|1 58.1 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12227	Btg2
mouse chr15 C|15 20.0 cM	mouse chr15 C|15 20.0 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14042	Ext1
mouse chr6 A2|6 7.83 cM	mouse chr6 A2|6 7.83 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	17295	Met
mouse chr9 E1|9 43.36 cM	mouse chr9 E1|9 43.36 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14629	Gclc
mouse chr4 B2|4 28.75 cM	mouse chr4 B2|4 28.75 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	21350	Tal2
mouse chr1 H3|1 78.02 cM	mouse chr1 H3|1 78.02 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14130	Fcgr2b
mouse chr6 B2.1|6 20.54 cM	mouse chr6 B2.1|6 20.54 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12366	Casp2
mouse chr6 G3|6 75.41 cM	mouse chr6 G3|6 75.41 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	75320	Etnk1
mouse chr1 C1.3|1 29.16 cM	mouse chr1 C1.3|1 29.16 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12633	Cflar
mouse chr13 A4|13 21.6 cM	mouse chr13 A4|13 21.6 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12522	Cd83
mouse chr2 B|2 21.75 cM	mouse chr2 B|2 21.75 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	64292	Ptges
mouse chrX C1|X 39.32 cM	mouse chrX C1|X 39.32 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	14933	Gk
mouse chr5 E2|5 46.57 cM	mouse chr5 E2|5 46.57 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	15945	Cxcl10
mouse chr8 C5|8 46.32 cM	mouse chr8 C5|8 46.32 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	17750	Mt2
mouse chr16 B4|16 26.86 cM	mouse chr16 B4|16 26.86 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12519	Cd80
mouse chr14 D3|14 39.38 cM	mouse chr14 D3|14 39.38 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	13885	Esd
mouse chr11 C|11 51.09 cM	mouse chr11 C|11 51.09 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	20303	Ccl4
mouse chr7 B3|7 30.51 cM	mouse chr7 B3|7 30.51 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	20210	Saa3
mouse chr11 D|11 63.82 cM	mouse chr11 D|11 63.82 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	20848	Stat3
mouse chr8 B1.1|8 26.39 cM	mouse chr8 B1.1|8 26.39 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	12367	Casp3
mouse chr6 F2|6 58.35 cM	mouse chr6 F2|6 58.35 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	56619	Clec4e
mouse chr11 C|11 51.29 cM	mouse chr11 C|11 51.29 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	56405	Dusp14
mouse chr5 C3.1|5 33.54 cM	mouse chr5 C3.1|5 33.54 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	21899	Tlr6
mouse chr8 D3|8 57.11 cM	mouse chr8 D3|8 57.11 cM	0.0605634385473605	-2.80406389228119	1	1	0.000683060109289617	1464	24173	15439	Hp
